rssi,Time
-90,2022-09-05 15:27:52.100
-93,2022-09-05 15:27:53.414
-91,2022-09-05 15:27:55.951
-93,2022-09-05 15:27:54.495
-95,2022-09-05 15:27:55.447
-93,2022-09-05 15:27:53.414
-91,2022-09-05 15:27:55.951
-93,2022-09-05 15:27:54.495
-95,2022-09-05 15:27:55.447
-90,2022-09-05 15:27:54.346
-91,2022-09-05 15:27:55.951
-91,2022-09-05 15:27:55.437
-95,2022-09-05 15:27:55.447
-88,2022-09-05 15:27:55.447
-93,2022-09-05 15:27:56.116
-93,2022-09-05 15:27:59.315
-88,2022-09-05 15:27:56.098
-84,2022-09-05 15:27:56.149
-92,2022-09-05 15:27:57.619
-93,2022-09-05 15:27:59.315
-95,2022-09-05 15:27:57.184
-85,2022-09-05 15:27:57.226
-92,2022-09-05 15:27:58.072
-93,2022-09-05 15:27:59.315
-92,2022-09-05 15:28:00.583
-80,2022-09-05 15:27:58.710
-89,2022-09-05 15:27:59.066
-93,2022-09-05 15:27:59.315
-92,2022-09-05 15:28:00.583
-93,2022-09-05 15:27:59.497
-86,2022-09-05 15:28:01.218
-95,2022-09-05 15:28:00.539
-92,2022-09-05 15:28:00.583
-88,2022-09-05 15:28:00.181
-86,2022-09-05 15:28:01.218
-91,2022-09-05 15:28:03.457
-87,2022-09-05 15:28:02.345
-92,2022-09-05 15:28:01.028
-89,2022-09-05 15:28:02.345
-91,2022-09-05 15:28:03.457
-87,2022-09-05 15:28:02.345
-80,2022-09-05 15:28:02.305
-87,2022-09-05 15:28:04.054
-91,2022-09-05 15:28:03.457
-85,2022-09-05 15:28:03.098
-93,2022-09-05 15:28:04.214
-87,2022-09-05 15:28:04.054
-86,2022-09-05 15:28:04.176
-85,2022-09-05 15:28:04.863
-93,2022-09-05 15:28:04.214
-85,2022-09-05 15:28:05.539
-85,2022-09-05 15:28:05.056
-93,2022-09-05 15:28:05.275
-93,2022-09-05 15:28:05.859
-88,2022-09-05 15:28:06.584
-87,2022-09-05 15:28:06.338
-86,2022-09-05 15:28:06.548
-92,2022-09-05 15:28:08.066
-90,2022-09-05 15:28:07.446
-94,2022-09-05 15:28:07.653
-92,2022-09-05 15:28:08.066
-88,2022-09-05 15:28:09.142
-93,2022-09-05 15:28:08.026
-92,2022-09-05 15:28:08.066
-88,2022-09-05 15:28:09.142
-96,2022-09-05 15:28:09.102
-86,2022-09-05 15:28:09.143
-89,2022-09-05 15:28:10.023
-94,2022-09-05 15:28:14.017
-95,2022-09-05 15:28:10.187
-97,2022-09-05 15:28:10.011
-93,2022-09-05 15:28:11.276
-94,2022-09-05 15:28:14.017
-89,2022-09-05 15:28:11.271
-92,2022-09-05 15:28:11.007
-94,2022-09-05 15:28:14.017
-91,2022-09-05 15:28:12.420
-86,2022-09-05 15:28:13.338
-94,2022-09-05 15:28:14.017
-93,2022-09-05 15:28:13.707
-86,2022-09-05 15:28:13.338
-94,2022-09-05 15:28:14.017
-92,2022-09-05 15:28:14.288
-88,2022-09-05 15:28:14.271
-94,2022-09-05 15:28:15.710
-89,2022-09-05 15:28:15.909
-94,2022-09-05 15:28:16.385
-89,2022-09-05 15:28:17.009
-86,2022-09-05 15:28:21.063
-88,2022-09-05 15:28:17.006
-89,2022-09-05 15:28:17.009
-86,2022-09-05 15:28:21.063
-91,2022-09-05 15:28:18.073
-84,2022-09-05 15:28:18.058
-86,2022-09-05 15:28:21.063
-88,2022-09-05 15:28:19.006
-87,2022-09-05 15:28:19.140
