name,locationStatus,timestamp,rssiOne,rssiTwo
FF:FF:C0:21:EF:BF,INSIDE,1551367583293,-85,-85
FF:FF:C0:21:F1:31,INSIDE,1551367584399,-90,-90
FF:FF:C0:21:EF:1A,INSIDE,1551367584409,-83,-83
FF:FF:C0:21:EF:BF,INSIDE,1551367584343,-88,-88
FF:FF:C0:21:F1:31,INSIDE,1551367585040,-90,-90
FF:FF:C0:21:EF:BA,INSIDE,1551367589466,-95,-95
FF:FF:C0:21:EF:1A,INSIDE,1551367585229,-78,-78
FF:FF:C0:21:EF:BF,INSIDE,1551367585436,-88,-88
FF:FF:C0:21:F1:31,INSIDE,1551367586077,-91,-91
FF:FF:C0:21:EF:BA,INSIDE,1551367589466,-95,-95
FF:FF:C0:21:EF:1A,INSIDE,1551367586290,-84,-84
FF:FF:C0:21:EF:BF,INSIDE,1551367586027,-89,-89
FF:FF:C0:21:F1:31,INSIDE,1551367589466,-90,-90
FF:FF:C0:21:EF:BA,INSIDE,1551367589466,-95,-95
FF:FF:C0:21:EF:1A,INSIDE,1551367587119,-89,-89
FF:FF:C0:21:EF:BF,INSIDE,1551367587586,-87,-87
FF:FF:C0:21:F1:31,INSIDE,1551367589466,-90,-90
FF:FF:C0:21:EF:BA,INSIDE,1551367589466,-95,-95
FF:FF:C0:21:EF:BF,INSIDE,1551367589536,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367589466,-90,-90
FF:FF:C0:21:EF:BA,INSIDE,1551367589466,-95,-95
FF:FF:C0:21:EF:BF,INSIDE,1551367589536,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367590220,-90,-90
FF:FF:C0:21:EF:BA,INSIDE,1551367590132,-91,-91
FF:FF:C0:21:EF:1A,INSIDE,1551367594377,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367591668,-92,-92
FF:FF:C0:21:F1:31,INSIDE,1551367592274,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367591128,-83,-83
FF:FF:C0:21:EF:1A,INSIDE,1551367594377,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367591668,-92,-92
FF:FF:C0:21:F1:31,INSIDE,1551367592274,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367592010,-80,-80
FF:FF:C0:21:EF:1A,INSIDE,1551367594377,-96,-96
FF:FF:C0:21:F1:31,INSIDE,1551367596111,-96,-96
FF:FF:C0:21:EF:BA,INSIDE,1551367594026,-83,-83
FF:FF:C0:21:EF:1A,INSIDE,1551367594377,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367597831,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367596111,-96,-96
FF:FF:C0:21:EF:BA,INSIDE,1551367594026,-83,-83
FF:FF:C0:21:EF:1A,INSIDE,1551367594377,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367597831,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367596111,-96,-96
FF:FF:C0:21:EF:BA,INSIDE,1551367595851,-85,-85
FF:FF:C0:21:EF:1A,INSIDE,1551367596066,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367597831,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367596111,-96,-96
FF:FF:C0:21:EF:BA,INSIDE,1551367598494,-91,-91
FF:FF:C0:21:EF:1A,INSIDE,1551367596066,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367597831,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367598436,-91,-91
FF:FF:C0:21:EF:BA,INSIDE,1551367598494,-91,-91
FF:FF:C0:21:EF:1A,INSIDE,1551367600970,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367597831,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367598436,-91,-91
FF:FF:C0:21:EF:BA,INSIDE,1551367598494,-91,-91
FF:FF:C0:21:EF:1A,INSIDE,1551367600970,-94,-94
