,time,rssi,azimuth,elevation,anchor,tag
244,2022-09-18 05:50:26.000,-81.0,26.0,-1.5,anchor-a@ch39,tag-a@-35
245,2022-09-18 05:50:26.500,-79.66666666666667,25.333333333333332,-1.3333333333333333,anchor-a@ch39,tag-a@-35
246,2022-09-18 05:50:27.000,-81.83333333333333,24.666666666666668,-1.0,anchor-a@ch39,tag-a@-35
247,2022-09-18 05:50:27.500,-81.33333333333333,26.0,-1.0,anchor-a@ch39,tag-a@-35
248,2022-09-18 05:50:28.000,-82.0,26.25,-1.0,anchor-a@ch39,tag-a@-35
249,2022-09-18 05:50:28.500,-81.0,25.0,-1.0,anchor-a@ch39,tag-a@-35
250,2022-09-18 05:50:29.000,-82.2,25.0,-1.0,anchor-a@ch39,tag-a@-35
251,2022-09-18 05:50:29.500,-80.0,24.666666666666668,-0.6666666666666666,anchor-a@ch39,tag-a@-35
252,2022-09-18 05:50:30.000,-81.0,25.0,-1.0,anchor-a@ch39,tag-a@-35
253,2022-09-18 05:50:30.500,-80.25,25.25,-0.5,anchor-a@ch39,tag-a@-35
254,2022-09-18 05:50:31.000,-79.33333333333333,25.0,-1.0,anchor-a@ch39,tag-a@-35
255,2022-09-18 05:50:31.500,-80.0,25.0,-1.0,anchor-a@ch39,tag-a@-35
256,2022-09-18 05:50:32.000,-82.0,25.0,-1.8333333333333333,anchor-a@ch39,tag-a@-35
257,2022-09-18 05:50:32.500,-81.25,25.75,-1.5,anchor-a@ch39,tag-a@-35
258,2022-09-18 05:50:33.000,-80.5,26.5,-0.5,anchor-a@ch39,tag-a@-35
259,2022-09-18 05:50:33.500,-84.0,25.0,0.0,anchor-a@ch39,tag-a@-35
260,2022-09-18 05:50:34.000,-82.5,24.0,-1.0,anchor-a@ch39,tag-a@-35
261,2022-09-18 05:50:34.500,-82.0,23.0,0.0,anchor-a@ch39,tag-a@-35
262,2022-09-18 05:50:35.000,-81.33333333333333,23.0,0.0,anchor-a@ch39,tag-a@-35
263,2022-09-18 05:50:35.500,-80.5,24.5,-0.75,anchor-a@ch39,tag-a@-35
264,2022-09-18 05:50:36.000,-80.5,25.0,-1.0,anchor-a@ch39,tag-a@-35
265,2022-09-18 05:50:36.500,-80.2,24.0,-1.0,anchor-a@ch39,tag-a@-35
